extras_10uid_bi_strs,extras_title_en_txts,extras_pkuniqueidcode_bi_strs,extras_statusf_en_strs,Load to OLC,extras_productidnew_bi_strs,
primary126643,Participation and Activity Limitation Survey (PALS) : User's Guide to the Public Use Microdata File,publication82m0023g_12,Discontinued/Not available,Do not load to OLC,82M0023G,
primary129116,Products and Services of the International Trade Division,publication65f0010x_12,Discontinued/Not available,Do not load to OLC,65F0010X,
primary125633,"General Social Survey, Cycle 18: Victimization (2004): User's Guide to the Public Use Microdata File, 2004",publication12m0018g_12,Discontinued/Not available,Do not load to OLC,12M0018G,
primary127875,Developing a Longitudinal Database on Businesses in the Canadian Economy: An Approach to the Study of Employment,issue18-501-x1988001_12,Do not load to OLC,Do not load to OLC,18-501-X1988001,
primary126663,"Residential Care Facilities, Mental",publication83-238-x_12,Discontinued/Not available,Do not load to OLC,83-238-X,
primary133236,1991 PUMF - Families File User's Guide,publication95m0009g_12,Discontinued/Not available,Do not load to OLC,95M0009G,
primary124291,Optical character recognition - a better way to capture basic 2001 census data,article11-522-x19970014198_12,Do not load to OLC,Do not load to OLC,11-522-X19970014198,
primary128441,"People, Products and Services, Agriculture Division",publication21f0003x_12,Do not load to OLC,Do not load to OLC,21F0003X,
primary124056,Statistics Canada Catalogue - Supplement,publication11-204-s_12,Discontinued/Not available,Do not load to OLC,11-204-S,
primary125498,"Guide to Sub-provincial Data: Excluding Census Data, 1979",publication12-566-x_12,Discontinued/Not available,Do not load to OLC,12-566-X,
primary124068,Listing of Supplementary Documents,publication11-207-x_12,Discontinued/Not available,Do not load to OLC,11-207-X,
primary124059,Statistics Canada Catalogue,publication11-204-x_12,Discontinued/Not available,Do not load to OLC,11-204-X,
primary125583,Statistics Canada Seminar and Workshop Series 1995 - 1996,publication12f0048g_12,Discontinued/Not available,Do not load to OLC,12F0048G,
primary124076,Statistics Canada Publications List,publication11-209-x_12,Discontinued/Not available,Do not load to OLC,11-209-X,
primary124065,"Listing of Supplementary Documents, Supplement",publication11-207-s_12,Discontinued/Not available,Do not load to OLC,11-207-S,
primary125617,"General Social Survey, Cycle 11: Social and Community Support (1996) - Public Use Microdata File Documentation and User's Guide",publication12m0011g_12,Discontinued/Not available,Do not load to OLC,12M0011G,
primary124243,Microdata matching: A tool for evaluating and improving the quality of survey data,article11-522-x19960013320_12,,Do not load to OLC,11-522-X19960013320,
primary126774,Principal Vital Statistics by Local Areas,publication84-542-x_12,Discontinued/Not available,Do not load to OLC,84-542-X,
primary126617,National Population Health Survey Public Use Microdata File User's Guide - Household Component,publication82m0009g_12,Discontinued/Not available,Do not load to OLC,82M0009G,
primary136280,"Health Promotion Survey (1985, 1990) - Microdata User's Guide",publication82m0007g_12,Discontinued/Not available,Do not load to OLC,82M0007G,
primary124213,Assessment and reduction of disclosure risk in microdata files containing discrete data,article11-522-x19950013257_12,,Do not load to OLC,11-522-X19950013257,
primary133773,Canadian Child Care in Context - Perspectives from the Provinces and Territories - 2 Volumes,publication89-524-m_12,Ongoing/Available,Do not load to OLC,89-524-M,
primary128806,Canadian National Child Care Study: Where are the Children? An Overview of Child Care Arrangements in Canada,publication89-527-x_12,Ongoing/Available,Do not load to OLC,89-527-X,
primary126371,"Selected Birth and Fertility Statistics, Canada, 1921-1990",publication82-553-x_12,Discontinued/Not available,Do not load to OLC,82-553-X,
primary126366,"Selected Infant Mortality and Related Statistics, Canada, 1921-1990",publication82-549-x_12,Discontinued/Not available,Do not load to OLC,82-549-X,
primary127757,"Selected Marriage Statistics, 1921-1990 - Diskette",publication82-552-x_12,Discontinued/Not available,Do not load to OLC,82-552-X,
primary128110,"Reproductive Health: Pregnancies and Rates, Canada, 1974-1993",publication82-568-x_12,Discontinued/Not available,Do not load to OLC,82-568-X,
primary126726,"Mortality, Summary List of Causes, Vital Statistics. Volume III",publication84-206-x_12,Discontinued/Not available,Do not load to OLC,84-206-X,
primary124049,Nursing in Canada,article82-003-s19900031976_12,Do not load to OLC,Do not load to OLC,82-003-S19900031976,
primary131897,Nursing in Canada,article82-003-x19920022049_12,Do not load to OLC,Do not load to OLC,82-003-X19920022049,
primary124113,"Towards a Comprehensive Framework for Environmental Statistics: A Stress-response Approach, 1979",publication11-510-x_12,Discontinued/Not available,Do not load to OLC,11-510-X,
primary125477,Development and Design of Survey Questionnaires,publication12-519-x_12,Discontinued/Not available,Do not load to OLC,12-519-X,
primary136263,User's Guide to the 1991 Health and Activity Limitation Survey (HALS),publication82f0011g_12,Ongoing/Available,Do not load to OLC,82F0011G,
primary126624,Youth Smoking Survey - Microdata User's Guide,publication82m0011g_12,Discontinued/Not available,Do not load to OLC,82M0011G,
primary129135,"Canada's Alcohol and Other Drugs Survey, 1994 - Microdata User's Guide",publication89m0007g_12,Discontinued/Not available,Do not load to OLC,89M0007G,
primary126615,Survey on Smoking in Canada (1994) - Microdata User's Guide,publication82m0008g_12,Discontinued/Not available,Do not load to OLC,82M0008G,
primary126633,1996 Sun Exposure Survey - Microdata User's Guide,publication82m0019g_12,Discontinued/Not available,Do not load to OLC,82M0019G,
primary125019,Survey on Ageing and Independence (1991) - Microdata User's Guide,publication91m0002g_12,Discontinued/Not available,Do not load to OLC,91M0002G,
primary129133,National Child Care Survey - Microdata User's Guide,publication89m0006g_12,Discontinued/Not available,Do not load to OLC,89M0006G,
primary129126,Survey of Leisure Time Activities - Microdata User's Guide,publication89m0001g_12,Discontinued/Not available,Do not load to OLC,89M0001G,
primary125620,"General Social Survey, Cycle 12: Time Use (1998) - Public Use Microdata File Documentation and User's Guide",publication12m0012g_12,Discontinued/Not available,Do not load to OLC,12M0012G,
primary135909,"Tables Presenting Detailed Expenditure on Housing Repair and Renovation, Homeowner Households, for Canada (10 Provinces) and the Provinces",publication62f0061x_12,Discontinued/Not available,Do not load to OLC,62F0061X,
primary126737,"Mortality, Summary List of Causes",publication84-209-x_12,Discontinued/Not available,Do not load to OLC,84-209-X,
primary126699,Mental Health Statistics,publication83-245-x_12,Discontinued/Not available,Do not load to OLC,83-245-X,
primary124119,"Directory to Microdata and Special Tabulations, 1983",publication11-514-x_12,Discontinued/Not available,Do not load to OLC,11-514-X,
primary129151,Ethnic Diversity Survey (EDS) 2002: User's Guide to the Public Use Microdata File,publication89m0019g_12,Discontinued/Not available,Do not load to OLC,89M0019G,
primary129153,"Aboriginal Peoples Survey (APS), 2001: User's Guide to the Public Use Microdata File (Adults Off Reserve)",publication89m0020g_12,Discontinued/Not available,Do not load to OLC,89M0020G,
primary129091,Bibliographic Employment Equity Database,publication89f0029x_12,Discontinued/Not available,Do not load to OLC,89F0029X,
primary122360,StatCan: CANSIM Disc - User's Guide,publication10f0007g_12,Discontinued/Not available,Do not load to OLC,10F0007G,
primary122355,StatCan: CANSIM Directory Disc - User's Guide,publication10f0005g_12,Discontinued/Not available,Do not load to OLC,10F0005G,
primary134573,Residential Telephone Service Survey - Microdata User's Guide,publication56m0001g_12,Discontinued/Not available,Do not load to OLC,56M0001G,
primary129128,Survey of Child Care - Microdata User's Guide,publication89m0002g_12,Discontinued/Not available,Do not load to OLC,89M0002G,
primary128805,Canadian National Child Care Study: Introductory Report,publication89-526-x_12,Ongoing/Available,Do not load to OLC,89-526-X,
primary124265,Variance estimation for public use microdata files,article11-522-x19970014158_12,,Do not load to OLC,11-522-X19970014158,
primary126364,"Selected Mortality Statistics, Canada, 1921-1990",publication82-548-x_12,Discontinued/Not available,Do not load to OLC,82-548-X,
primary127697,Selected Therapeutic Abortion Statistics,publication82-550-x_12,Discontinued/Not available,Do not load to OLC,82-550-X,
primary136676,Residential Care Facilities,publication83f0001x_12,Discontinued/Not available,Do not load to OLC,83F0001X,
primary126776,"Occupational Mortality in British Columbia, 1950-1978",publication84-544-x_12,Discontinued/Not available,Do not load to OLC,84-544-X,
primary125179,Canada Year Book 1997 - Teachers Kit,publication11f0022x_12,Discontinued/Not available,Do not load to OLC,11F0022X,
primary126207,A User Guide to the Canadian System of National Accounts,publication13-589-x_12,Discontinued/Not available,Do not load to OLC,13-589-X,
primary124806,In the Footsteps of Jacques Cartier: 450 Years Later: A Statistical Portrait,publication11-606-x_12,Do not load to OLC,Do not load to OLC,11-606-X,
primary126220,Studies in National Accounting,publication13-603-m_12,Discontinued/Not available,Do not load to OLC,13-603-M,
primary135368,Guide to Labour Force Survey Data,publication71-528-x_12,Discontinued/Not available,Do not load to OLC,71-528-X,
primary126627,Canadian Community Health Survey - Guide,publication82m0013g_12,Discontinued/Not available,Do not load to OLC,82M0013G,
primary126641,"Canadian Community Health Survey: Mental Health and Well-being, Public Use Microdata File Guide",publication82m0021g_12,Discontinued/Not available,Do not load to OLC,82M0021G,
primary126645,"Canadian Community Health Survey, Nutrition: General Health Component, Public Use Microdata File Guide",publication82m0024g_12,Discontinued/Not available,Do not load to OLC,82M0024G,
primary125529,Canadian Export-Import Alphabetical Index (Based on the Harmonized System),publication12-579-x_12,Discontinued/Not available,Do not load to OLC,12-579-X,
primary125629,"General Social Survey, Cycle 16: Aging and Social Support (2002): User's Guide to the Public Use MicroGeneral Social Survey, Cycle 16: Aging and Social Support (2002): User's Guide to the Public Use Microdata File, 2002",publication12m0016g_12,Discontinued/Not available,Do not load to OLC,12M0016G,
primary128818,A Portrait of Persons with Disabilities,publication89-542-x_12,Discontinued/Not available,Do not load to OLC,89-542-X,
primary127608,Income in Canada,publication75-202-r_12,Do not load to OLC,Do not load to OLC,75-202-R,
primary126352,Perspectives on Health,publication82-540-x_12,Discontinued/Not available,Do not load to OLC,82-540-X,
primary124293,Generalized tools for the automatic generation of editing and coding applications for statistical survey data,article11-522-x19970014208_12,,Do not load to OLC,11-522-X19970014208,
primary124270,"Developing an integrated historical data warehouse for easy access to the reported, summarized, and published data of the National Agricultural Statistics Service",article11-522-x19970014167_12,,Do not load to OLC,11-522-X19970014167,
primary124275,Investigating neural networks as a possible means of imputation for the 2001 UK Census,article11-522-x19970014172_12,,Do not load to OLC,11-522-X19970014172,
primary124274,Family Resources Survey: a practical example of imputation,article11-522-x19970014171_12,,Do not load to OLC,11-522-X19970014171,
primary124276,1996 Canadian census demographic variables imputation,article11-522-x19970014173_12,,Do not load to OLC,11-522-X19970014173,
primary124211,Global recodings and local suppressions in microdata sets,article11-522-x19950013255_12,,Do not load to OLC,11-522-X19950013255,
primary124219,The crystal ball is extra: How to succeed in the marketplace without one,article11-522-x19950013263_12,,Do not load to OLC,11-522-X19950013263,
primary124251,The impact of legislation and administrative practices in the functioning of a register-based statistical system - A case study on the register of unemployed job seekers,article11-522-x19960013328_12,,Do not load to OLC,11-522-X19960013328,
primary124250,Quality assurance for the Canadian Cancer Register,article11-522-x19960013327_12,,Do not load to OLC,11-522-X19960013327,
primary124246,Evaluator error in the assessment of interviewer performance,article11-522-x19960013323_12,,Do not load to OLC,11-522-X19960013323,
primary124252,Nonsampling errors and survey estimation,article11-522-x19960013329_12,,Do not load to OLC,11-522-X19960013329,
primary122165,"Atlas of Cancer Mortality in British Columbia, 1956-1983",publication82-565-x_12,Discontinued/Not available,Do not load to OLC,82-565-X,
primary125269,Inverse sampling design algorithms,article12-001-x19970013101_12,,Do not load to OLC,12-001-X19970013101,
primary129742,"Age, Sex, Marital Status and Common-law Status (Reference Products: Technical Reports: 1991 Census of Population)",cens_tbtp92-325-x_12,Discontinued/Not available,,92-325-X,
primary135778,LFS Paper,publication71-601-x_12,Do not load to OLC,Do not load to OLC,71-601-X,
primary124287,Interpolating time series from administrative data with diverse reference periodInterpolating time series from administrative data with diverse reference periods,article11-522-x19970014184_12,,Do not load to OLC,11-522-X19970014184,
primary124295,Estimation of variance in presence of imputation,article11-522-x19970014210_12,,Do not load to OLC,11-522-X19970014210,
primary124294,Comparing estimation methods for a monthly business inquiry,article11-522-x19970014209_12,,Do not load to OLC,11-522-X19970014209,
primary124289,Panel discussion on managing change in statistical agencies,article11-522-x19970014187_12,,Do not load to OLC,11-522-X19970014187,
primary124214,Making information available for market research and spatial analysis,article11-522-x19950013258_12,,Do not load to OLC,11-522-X19950013258,
primary124209,Problems of resource allocation,article11-522-x19950013253_12,,Do not load to OLC,11-522-X19950013253,
primary124308,Rate of convergence of an asympiotic variance for a ps sequential sampling,article11-522-x19970014235_12,,Do not load to OLC,11-522-X19970014235,
primary124305,Integration: the census dissemination perspective,article11-522-x19970014232_12,,Do not load to OLC,11-522-X19970014232,
primary129744,Mobility and Migration (Reference Products: Technical Reports: 1991 Census of Population),cens_cphta92-326-x_12,Discontinued/Not available,,92-326-X,
primary124261,The National Longitudinal Survey of Children and Youth locator test,article11-522-x19970014154_12,,Do not load to OLC,11-522-X19970014154,
primary124298,Sample design to integrate two statewide random digit dialing (RDD) surveys,article11-522-x19970014213_12,,Do not load to OLC,11-522-X19970014213,
primary124299,Symbolic computation of bootstrap variance estimators in sample survey theory,article11-522-x19970014214_12,,Do not load to OLC,11-522-X19970014214,
primary124260,Demographic analyses in support of a one number census,article11-522-x19970014153_12,,Do not load to OLC,11-522-X19970014153,
primary124237,"Cognitive research in reducing nonsampling errors in the current population, survey supplement on race and ethnicity",article11-522-x19960013314_12,,Do not load to OLC,11-522-X19960013314,
primary124279,Measuring and reporting the quality of survey data,article11-522-x19970014176_12,,Do not load to OLC,11-522-X19970014176,
primary124278,Towards integrated business survey processing,article11-522-x19970014175_12,,Do not load to OLC,11-522-X19970014175,
primary124238,Quality measurement in survey processing,article11-522-x19960013315_12,,Do not load to OLC,11-522-X19960013315,
primary125299,Longitudinal surveys: Why are these surveys different from all other surveys?,article12-001-x19980024347_12,,Do not load to OLC,12-001-X19980024347,
primary125302,Longitudinal analysis of Swiss labour force survey data by multivariate logistic regression,article12-001-x19980024350_12,,Do not load to OLC,12-001-X19980024350,
primary125279,Computer-assisted interviewing in a decentralised environment: The case of household surveys at Statistics Canada,article12-001-x19970023614_12,,Do not load to OLC,12-001-X19970023614,
primary125261,The application of McNemar tests to the Current Population Survey's split panel study,article12-001-x19960022981_12,,Do not load to OLC,12-001-X19960022981,
primary124186,The evolution of marketing at Statistics Canada,article11-522-x19940012626_12,,Do not load to OLC,11-522-X19940012626,
primary124230,Measuring errors on the Business Register,article11-522-x19960013307_12,,Do not load to OLC,11-522-X19960013307,
primary124318,Design and analysis of experiments embedded in complex sample surveys,article11-522-x19970014245_12,,Do not load to OLC,11-522-X19970014245,
primary124297,Two-phase surveys of elusive populations,article11-522-x19970014212_12,,Do not load to OLC,11-522-X19970014212,
primary125280,Estimating the population and characteristics of health facilities and client populations using linked multi-stage sample survey design,article12-001-x19970023615_12,,Do not load to OLC,12-001-X19970023615,
primary126202,A Guide to the Financial Flow and National Balance Sheet Accounts,publication13-585-x_12,Discontinued/Not available,Do not load to OLC,13-585-X,
primary124249,Some data quality impacts when merging survey data on income with tax data,article11-522-x19960013326_12,,Do not load to OLC,11-522-X19960013326,
primary124244,The validity of self-reported chronic conditions in the National Population Health Survey,article11-522-x19960013321_12,,Do not load to OLC,11-522-X19960013321,
primary124272,The advantages of geo-demographic stratification,article11-522-x19970014169_12,,Do not load to OLC,11-522-X19970014169,
primary124201,Linking data to create information,article11-522-x19950013245_12,,Do not load to OLC,11-522-X19950013245,
primary125297,Temporary mobility and reporting of usual residence,article12-001-x19980013913_12,,Do not load to OLC,12-001-X19980013913,
primary124189,Survey re-engineering: Is our information technology framework up to it?,article11-522-x19940012630_12,,Do not load to OLC,11-522-X19940012630,
primary124194,The re-engineering of the services of the Quebec public curator,article11-522-x19940012636_12,,Do not load to OLC,11-522-X19940012636,
primary124188,Re-engineering the statistical framework,article11-522-x19940012629_12,,Do not load to OLC,11-522-X19940012629,
primary124187,Re-engineering initiatives and marketing: The Statistics New Zealand experience,article11-522-x19940012627_12,,Do not load to OLC,11-522-X19940012627,
primary124223,The alliance as an arranged marriage,article11-522-x19950013267_12,,Do not load to OLC,11-522-X19950013267,
primary124254,Towards multiple-media survey and census data: rethinking fundamental issues of design and statistical analysis,article11-522-x19970014147_12,,Do not load to OLC,11-522-X19970014147,
primary124280,The American Community Survey design issues and initial test results,article11-522-x19970014177_12,,Do not load to OLC,11-522-X19970014177,
primary124286,Qualitative tests as a substitute for experimental pilot studies to compare questionnaire versions,article11-522-x19970014183_12,,Do not load to OLC,11-522-X19970014183,
primary124285,"Asking questions using combinations of sequential, matrix, single sheet and book formats in a test of Canadian census questionnaire",article11-522-x19970014182_12,,Do not load to OLC,11-522-X19970014182,
primary136168,"Aboriginal Peoples Survey (APS), 2001: User's Guide to the Public Use Microdata File (Children Off Reserve)",publication89m0021g_12,Discontinued/Not available,Do not load to OLC,89M0021G,
primary125241,"Index to Survey Methodology, Volume 1 to Volume 26, No. 1,  (1975-2000)",publication12-001-s_12,Ongoing/Available,Do not load to OLC,12-001-S,
primary128379,Trends and Patterns of Agricultural Structural Change: A Canada/U.S. Comparison.,issue21-601-m1994018_12,Completed,Do not load to OLC,21-601-M1994018,
primary124180,Re-engineering the Canadian Labour Force Survey,article11-522-x19940012618_12,,Do not load to OLC,11-522-X19940012618,
primary124284,Measuring the impact of welfare reform: issues in designing the Survey of Program Dynamics questionnaire,article11-522-x19970014181_12,,Do not load to OLC,11-522-X19970014181,
primary124240,Statistics Canada's experiences with automated data entry,article11-522-x19960013317_12,,Do not load to OLC,11-522-X19960013317,
primary124307,Determining the probabilities of selection in a multivariate probability proportional to size sample design,article11-522-x19970014234_12,,Do not load to OLC,11-522-X19970014234,
primary131489,University Student Information System USIS Enrolment Input Manual,publication81n0002x_12,Do not load to OLC,Do not load to OLC,81N0002X,
primary128825,The Statistics Canada Total Work Accounts System,publication89-549-x_12,Discontinued/Not available,Do not load to OLC,89-549-X,
primary128810,"Language, Tradition, Health, Lifestyle and Social Issues",publication89-533-s_12,Do not load to OLC,Do not load to OLC,89-533-S,
primary128373,The Microdynamics and Farm Family Economics of Structural Change in Agriculture,issue21-601-m1992016_12,Completed,Do not load to OLC,21-601-M1992016,
primary126766,"Life Tables, Canada and Provinces",publication84-532-x_12,Discontinued/Not available,Do not load to OLC,84-532-X,
primary126747,Deaths,publication84-211-x_12,Discontinued/Not available,Do not load to OLC,84-211-X,
primary126758,Divorces,publication84-213-x_12,Discontinued/Not available,Do not load to OLC,84-213-X,
primary126285,Hospital Morbidity and Surgical Procedures,publication82-216-x_12,Discontinued/Not available,Do not load to OLC,82-216-X,
primary126673,"Hospital Statistics, Preliminary Annual Report",publication83-241-x_12,Discontinued/Not available,Do not load to OLC,83-241-X,
primary126358,Cardio-vascular Disease in Canada,publication82-544-x_12,Discontinued/Not available,Do not load to OLC,82-544-X,
primary126720,"Causes of Death, Vital Statistics. Volume IV",publication84-203-x_12,Discontinued/Not available,Do not load to OLC,84-203-X,
primary125487,1976 Standard Geographical Classification Manual. Volume I. The Classification,publication12-554-x_12,Discontinued/Not available,Do not load to OLC,12-554-X,
primary126782,General Summary of Vital Statistics by Local Area,publication84f0001x_12,Discontinued/Not available,Do not load to OLC,84F0001X,
primary125491,1976 Standard Geographical Classification Manual (SGC). Volume III. Alphabetical Index by Province,publication12-556-x_12,Discontinued/Not available,Do not load to OLC,12-556-X,
primary125489,1976 Standard Geographical Classification Manual. Volume II. Numerical Index,publication12-555-x_12,Discontinued/Not available,Do not load to OLC,12-555-X,
primary126722,"Births and Deaths, Vital Statistics. Volume I",publication84-204-x_12,Discontinued/Not available,Do not load to OLC,84-204-X,
primary129729,"Enumeration Area Reference Lists - Census Divisions and Census Subdivisions - Atlantic Provinces, 1991 Census (Reference Products: Geographic Reference Products: 1991 Census of Population)",publication92-314-x_12,Discontinued/Not available,Do not load to OLC,92-314-X,
primary129727,"Enumeration Area Reference Lists - Census Metropolitan Areas and Census Agglomerations, 1991 Census (Reference Products: Geographic Reference Products: 1991 Census of Population)",publication92-313-x_12,Discontinued/Not available,Do not load to OLC,92-313-X,
primary129725,"Enumeration Area Reference Lists - Census Tracts, 1991 Census (Reference Products: Geographic Reference Products: 1991 Census of Population)",publication92-312-x_12,Discontinued/Not available,Do not load to OLC,92-312-X,
primary129732,"Enumeration Area Reference Lists - Census Divisions and Census Subdivisions - Ontario, 1991 Census (Reference Products: Geographic Reference Products: 1991 Census of Population)",publication92-316-x_12,Discontinued/Not available,Do not load to OLC,92-316-X,
primary129811,"Census Division and Census Subdivision (CD/CSD) Reference Maps, 1996 Census (Geography  Products: Geographic Reference Products)",publication92f0089x_12,Ongoing/Available,Do not load to OLC,92F0089X,
primary128253,"Rural Enumeration Area (EA) Reference Maps, 1996 Census (Geography Products: Geographic Reference Products)",publication92f0091x_12,Ongoing/Available,Do not load to OLC,92F0091X,
primary129809,"Small Urban Enumeration Area (EA) Reference Maps, 1996 Census (Geography Products: Geographic Reference Products)",publication92f0088x_12,Ongoing/Available,Do not load to OLC,92F0088X,
primary136532,Hospital Annual Statistics,publication83-242-x_12,Discontinued/Not available,Do not load to OLC,83-242-X,
primary126380,"Highlights from the Canadian Health and Disability Survey, 1983-1984",publication82-563-x_12,Discontinued/Not available,Do not load to OLC,82-563-X,
primary126704,Hospital Indicators,publication83-246-x_12,Discontinued/Not available,Do not load to OLC,83-246-X,
primary125024,Hospital Morbidity,publication82-206-x_12,Discontinued/Not available,Do not load to OLC,82-206-X,
primary126354,"Canadian Women, Profile of Their Health",publication82-542-x_12,Discontinued/Not available,Do not load to OLC,82-542-X,
primary126360,Canadian Youth: Perspectives on Their Health,publication82-545-x_12,Discontinued/Not available,Do not load to OLC,82-545-X,
primary126383,"Cancer Incidence in Canada, 1969-1993",publication82-566-x_12,Discontinued/Not available,Do not load to OLC,82-566-X,
primary129740,"Census Metropolitan Areas, Census Agglomerations and Census Tracts Maps, 1991 Census (Reference Products: Geographic Reference Products: 1991 Census of Population)",publication92-320-x_12,Discontinued/Not available,Do not load to OLC,92-320-X,
primary129738,"Census Divisions and Census Subdivisions  Maps, 1991 Census (Reference Products: Geographic Reference Products: 1991 Census of Population)",publication92-319-x_12,Discontinued/Not available,Do not load to OLC,92-319-X,
primary129736,"Enumeration Area Reference Lists - Equivalent Enumeration Areas, 1991 and 1986, 1991 Census (Reference Products: Geographic Reference Products: 1991 Census of Population)",publication92-318-x_12,Discontinued/Not available,Do not load to OLC,92-318-X,
primary124002,"Enumeration Area Reference Lists - Census Divisions and Census Subdivisions - Quebec, 1991 Census (Produits De Référence: Geographic Reference Products: 1991 Census of Population)",publication92-315-x_12,Discontinued/Not available,Do not load to OLC,92-315-X,
primary136390,"Federal Electoral District/Enumeration Area (FED/EA) Reference Maps (1987 Representation Order), 1996 Census (Geography Products: Geographic Reference Products)",publication92f0087x_12,Ongoing/Available,Do not load to OLC,92F0087X,
primary126670,List of Residential Care Facilities,publication83-240-x_12,Discontinued/Not available,Do not load to OLC,83-240-X,
primary126724,"Marriages and Divorces, Vital Statistics. Volume II",publication84-205-x_12,Discontinued/Not available,Do not load to OLC,84-205-X,
primary126750,Marriages [1995],publication84-212-x_12,Discontinued/Not available,Do not load to OLC,84-212-X,
primary126654,"Annual Return of Hospitals, Hospital Indicators",publication83-233-x_12,Discontinued/Not available,Do not load to OLC,83-233-X,
primary127627,"Enumeration Area Reference Lists - Census Divisions and Census Subdivisions - Western Provinces and Northwest Territories, 1991 Census (Reference Products: Geographic Reference Products: 1991 Census of Population)",publication92-317-x_12,Discontinued/Not available,Do not load to OLC,92-317-X,
primary129721,"Geography Guide Book, 1991 Census (Reference  Products: Geographic Reference Products: 1991 Census of Population)",publication92-310-x_12,Discontinued/Not available,Do not load to OLC,92-310-X,
primary125517,Standard Geographical Classification. Volume III. Changes: 1986-1991,publication12-573-x_12,Discontinued/Not available,Do not load to OLC,12-573-X,
primary124832,"Large Urban Enumeration Area (EA) Reference Maps, 1996 Census (Geography Products: Geographic Reference Products)",publication92f0090x_12,Ongoing/Available,Do not load to OLC,92F0090X,
primary126793,Causes of Death - Shelf Tables,publication84f0208x_12,Discontinued/Not available,Do not load to OLC,84F0208X,
primary130758,Agriculture Profile of Nova Scotia - Part II,issue95-318-x1991000_12,Do not load to OLC,Do not load to OLC,95-318-X1991000,
primary130770,Agriculture Profile of New Brunswick - Part II,issue95-324-x1991000_12,Do not load to OLC,Do not load to OLC,95-324-X1991000,
primary135914,Department Store Sales and Stocks,publication63-002-x_12,Discontinued/Not available,Do not load to OLC,63-002-X,
primary136609,Annual Retail Trade [1992],publication63-223-x_12,Discontinued/Not available,Do not load to OLC,63-223-X,
primary126191,"Employment by Domestic and Foreign Controlled Enterprises in Canada : A Provincial Analysis, 1975",publication13-574-x_12,Do not load to OLC,Do not load to OLC,13-574-X,
primary126193,Earnings of Men and Women,publication13-577-x_12,Discontinued/Not available,Do not load to OLC,13-577-X,
primary126192,"Employment by Domestic and Foreign Controlled Enterprises in Canada : A Provincial Analysis, 1975",issue13-574-x1975000_12,Do not load to OLC,Do not load to OLC,13-574-X1975000,
primary126678,"The Input-Output Structure of the Canadian Economy, 1961-1981 (Revised Data)",issue15-510-x1981001_12,Do not load to OLC,Do not load to OLC,15-510-X1981001,
